query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
scandinavian furniture usa,https://moderncre8ve.com/collections/scandinavian-design-furniture,DESKTOP,fra,0,1,0.0,37.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture wood,https://moderncre8ve.com/collections/scandinavian-design-furniture,DESKTOP,usa,0,1,0.0,15.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture wood,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,1,0.0,1.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture wood,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,MOBILE,usa,0,1,0.0,13.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian furnitures,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,2,0.0,13.5,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furnitures,https://moderncre8ve.com/collections/scandinavian-design-furniture,DESKTOP,usa,0,1,0.0,8.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian home accessories,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,3,0.0,68.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian home brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,1,0.0,30.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian home decor,https://moderncre8ve.com/collections/scandinavian-design-furniture,DESKTOP,usa,0,1,0.0,37.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian home decor brands similar to ikea,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,arg,0,1,0.0,9.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian home decor brands similar to ikea,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,ecu,0,1,0.0,9.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian home decor brands similar to ikea,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,esp,0,1,0.0,8.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
